month,ipca_12m,ipca_mom,ipca_yoy,month_key
1980-12-01,99.25,,,1980-12
1981-01-01,99.67,0.004231738035264554,,1981-01
1981-02-01,103.07,0.03411257148590341,,1981-02
1981-03-01,101.03,-0.019792374114679268,,1981-03
1981-04-01,103.27,0.022171632188458856,,1981-04
1981-05-01,103.0,-0.00261450566476229,,1981-05
1981-06-01,103.41,0.003980582524271803,,1981-06
1981-07-01,104.78,0.01324823518035001,,1981-07
1981-08-01,105.85,0.010211872494750862,,1981-08
1981-09-01,107.88,0.019178082191780854,,1981-09
1981-10-01,99.52,-0.07749351130886173,,1981-10
1981-11-01,96.89,-0.026426848874598008,,1981-11
1981-12-01,95.62,-0.013107647848075055,-0.036574307304785836,1981-12
1982-01-01,95.86,0.002509935160008414,-0.03822614628273302,1982-01
1982-02-01,96.29,0.004485708324640125,-0.0657805374987871,1982-02
1982-03-01,97.68,0.01443555924810469,-0.033158467781846945,1982-03
1982-04-01,96.61,-0.01095413595413608,-0.06449113973080267,1982-04
1982-05-01,98.65,0.021115826518993908,-0.04223300970873778,1982-05
1982-06-01,101.64,0.030309173846933657,-0.017116333043225906,1982-06
1982-07-01,101.84,0.001967729240456517,-0.02805878984539034,1982-07
1982-08-01,102.75,0.008935585231736098,-0.029286726499763716,1982-08
1982-09-01,102.41,-0.003309002433090069,-0.05070448646644421,1982-09
1982-10-01,101.19,-0.011912899130944288,0.016780546623794246,1982-10
1982-11-01,101.22,0.00029647198339755043,0.04468985447414586,1982-11
1982-12-01,104.79,0.03526970954356856,0.0959004392386531,1982-12
1983-01-01,108.0,0.030632693959347312,0.12664302107239722,1983-01
1983-02-01,110.38,0.022037037037037077,0.1463287984214352,1983-02
1983-03-01,113.63,0.02944373980793613,0.16328828828828823,1983-03
1983-04-01,115.03,0.012320689958637665,0.19066349239209202,1983-04
1983-05-01,114.67,-0.0031296183604276884,0.16239229599594518,1983-05
1983-06-01,120.24,0.04857416935554193,0.18299881936245566,1983-06
1983-07-01,127.94,0.06403858948769137,0.25628436763550666,1983-07
1983-08-01,134.69,0.0527591058308583,0.3108515815085158,1983-08
1983-09-01,146.35,0.08656915880911731,0.4290596621423688,1983-09
1983-10-01,156.78,0.07126750939528526,0.5493625852356954,1983-10
1983-11-01,161.9,0.03265722668707749,0.5994862675360602,1983-11
1983-12-01,164.01,0.013032736256948674,0.565130260521042,1983-12
1984-01-01,166.51,0.015242972989451875,0.5417592592592593,1984-01
1984-02-01,170.57,0.02438291994474806,0.5452980612429787,1984-02
1984-03-01,174.59,0.02356803658322093,0.5364780427703952,1984-03
1984-04-01,182.22,0.04370238845294683,0.5841084934364948,1984-04
1984-05-01,189.03,0.03737240698057298,0.6484695212348479,1984-05
1984-06-01,189.55,0.002750886102734995,0.5764304723885565,1984-06
1984-07-01,188.62,-0.004906357161698849,0.4742848210098485,1984-07
1984-08-01,189.25,0.003340048775315463,0.405078328012473,1984-08
1984-09-01,193.05,0.020079260237780838,0.3190980526135976,1984-09
1984-10-01,197.27,0.02185962185962187,0.2582599821405791,1984-10
1984-11-01,205.97,0.044101992193440465,0.27220506485484863,1984-11
1984-12-01,215.26,0.04510365587221443,0.3124809462837632,1984-12
1985-01-01,221.27,0.027919724983740624,0.3288691369887695,1985-01
1985-02-01,225.28,0.01812265557915671,0.3207480799671689,1985-02
1985-03-01,228.93,0.01620205965909083,0.31124348473566643,1985-03
1985-04-01,224.88,-0.01769099724806711,0.23411261112940407,1985-04
1985-05-01,219.36,-0.0245464247598719,0.16045072210760214,1985-05
1985-06-01,214.76,-0.020970094821298413,0.1329992086520706,1985-06
1985-07-01,216.44,0.007822685788787531,0.14749231258615203,1985-07
1985-08-01,224.26,0.03613010534097216,0.18499339498018497,1985-08
1985-09-01,222.43,-0.008160171229822488,0.1521885521885522,1985-09
1985-10-01,222.95,0.0023378141437755406,0.13017691488822414,1985-10
1985-11-01,233.02,0.04516707782013918,0.1313298053114531,1985-11
1985-12-01,242.23,0.03952450433439192,0.12529034655765114,1985-12
1986-01-01,250.23,0.03302646245304053,0.13088082433226367,1986-01
1986-02-01,256.08,0.023378491787555467,0.13671875,1986-02
1986-03-01,238.65,-0.06806466729147131,0.04245839339536106,1986-03
1986-04-01,215.44,-0.09725539492981361,-0.04197794379224473,1986-04
1986-05-01,198.38,-0.07918678054214634,-0.09564186725018242,1986-05
1986-06-01,178.52,-0.10011089827603581,-0.16874650772955846,1986-06
1986-07-01,156.8,-0.12166704010755092,-0.2755498059508408,1986-07
1986-08-01,137.33,-0.12417091836734695,-0.3876304289663782,1986-08
1986-09-01,117.25,-0.14621714119274742,-0.4728678685429124,1986-09
1986-10-01,100.13,-0.14601279317697236,-0.5508858488450326,1986-10
1986-11-01,85.17,-0.14940577249575548,-0.6344948931422196,1986-11
1986-12-01,79.66,-0.06469414112950578,-0.6711390001238493,1986-12
1987-01-01,77.84,-0.02284710017574687,-0.6889261879071253,1987-01
1987-02-01,77.71,-0.0016700924974307751,-0.6965401437050922,1987-02
1987-03-01,97.39,0.25324926006948933,-0.5919128430756337,1987-03
1987-04-01,133.27,0.368415648423863,-0.3814054957296694,1987-04
1987-05-01,179.4,0.34613941622270583,-0.09567496723460023,1987-05
1987-06-01,230.27,0.28355629877369015,0.2898834864440958,1987-06
1987-07-01,254.63,0.10578885655969072,0.6239158163265304,1987-07
1987-08-01,259.14,0.017711974237128336,0.886987548241462,1987-08
1987-09-01,280.55,0.08261943351084367,1.3927505330490404,1987-09
1987-10-01,315.35,0.12404206023881659,2.149405772495756,1987-10
1987-11-01,353.27,0.12024734422070704,3.1478220030527178,1987-11
1987-12-01,363.41,0.02870325813117458,3.562013557619885,1987-12
1988-01-01,386.67,0.0640048430147766,3.967497430626927,1988-01
1988-02-01,399.9,0.03421522228256646,4.146055848668126,1988-02
1988-03-01,405.18,0.013203300825206377,3.1603860765992406,1988-03
1988-04-01,405.99,0.0019991115059974085,2.0463720267126884,1988-04
1988-05-01,389.19,-0.04138032956476767,1.1693979933110366,1988-05
1988-06-01,398.54,0.024024255505023406,0.7307508576888002,1988-06
1988-07-01,456.52,0.14548100567069788,0.7928759376349999,1988-07
1988-08-01,545.24,0.19433978796109708,1.104036428185537,1988-08
1988-09-01,662.99,0.2159599442447362,1.3631794689003742,1988-09
