month,ipca_12m,ipca_mom,ipca_yoy,month_key,usdbrl_avg,mom,yoy
1998-11-01,1.76,-0.14146341463414625,-0.6660341555977229,1998-11,,,
1998-12-01,1.65,-0.0625,-0.6839080459770115,1998-12,,,
1999-01-01,1.65,0.0,-0.6511627906976745,1999-01,,,
1999-02-01,2.24,0.3575757575757579,-0.5223880597014925,1999-02,,,
1999-03-01,3.02,0.3482142857142856,-0.331858407079646,1999-03,,,
1999-04-01,3.35,0.10927152317880795,-0.1298701298701299,1999-04,,,
1999-05-01,3.14,-0.06268656716417909,-0.2050632911392405,1999-05,,,
1999-06-01,3.32,0.0573248407643312,-0.026392961876832932,1999-06,,,
1999-07-01,4.57,0.3765060240963858,0.4934640522875817,1999-07,,,
1999-08-01,5.69,0.24507658643326047,1.2313725490196084,1999-08,,,
1999-09-01,6.25,0.09841827768014055,1.753303964757709,1999-09,,,
1999-10-01,7.5,0.19999999999999996,2.658536585365854,1999-10,,,
1999-11-01,8.65,0.15333333333333332,3.9147727272727275,1999-11,,,
1999-12-01,8.94,0.03352601156069346,4.418181818181818,1999-12,,,
2000-01-01,8.85,-0.010067114093959662,4.363636363636363,2000-01,1.8029238095238096,,
2000-02-01,7.86,-0.11186440677966092,2.508928571428571,2000-02,1.774490476190476,-0.015770679372659302,
2000-03-01,6.92,-0.11959287531806617,1.2913907284768213,2000-03,1.7412333333333332,-0.018741798450527702,
2000-04-01,6.77,-0.021676300578034713,1.0208955223880594,2000-04,1.7673684210526315,0.015009526419567543,
2000-05-01,6.47,-0.04431314623338256,1.0605095541401273,2000-05,1.8271318181818181,0.03381490605880133,
2000-06-01,6.51,0.0061823802163833985,0.9608433734939759,2000-06,1.8075285714285716,-0.010728972347903043,
2000-07-01,7.06,0.08448540706605212,0.5448577680525162,2000-07,1.7970238095238094,-0.005811671290185894,
2000-08-01,7.86,0.11331444759206799,0.38137082601054484,2000-08,1.8084391304347824,0.0063523481717240315,
2000-09-01,7.77,-0.011450381679389388,0.24319999999999986,2000-09,1.83839,0.01656172389834154,
2000-10-01,6.65,-0.144144144144144,-0.11333333333333329,2000-10,1.8788380952380952,0.022001912128599033,
2000-11-01,5.99,-0.09924812030075192,-0.307514450867052,2000-11,1.94721,0.03639052504587448,
2000-12-01,5.97,-0.0033388981636061077,-0.33221476510067116,2000-12,1.96245,0.007826582649020919,
2001-01-01,5.92,-0.008375209380234505,-0.33107344632768365,2001-01,1.9537090909090908,-0.004454079895492513,0.08363375123716787
2001-02-01,6.27,0.05912162162162149,-0.20229007633587792,2001-02,2.0010555555555554,0.02423414256849954,0.12767894919981493
2001-03-01,6.44,0.027113237639553533,-0.06936416184971095,2001-03,2.08825,0.04357422471473393,0.19929360415031505
