month,usdbrl_avg,mom,yoy,month_key
2000-01-01,1.8029238095238096,,,2000-01
2000-02-01,1.774490476190476,-0.015770679372659302,,2000-02
2000-03-01,1.7412333333333332,-0.018741798450527702,,2000-03
2000-04-01,1.7673684210526315,0.015009526419567543,,2000-04
2000-05-01,1.8271318181818181,0.03381490605880133,,2000-05
2000-06-01,1.8075285714285716,-0.010728972347903043,,2000-06
2000-07-01,1.7970238095238094,-0.005811671290185894,,2000-07
2000-08-01,1.8084391304347824,0.0063523481717240315,,2000-08
2000-09-01,1.83839,0.01656172389834154,,2000-09
2000-10-01,1.8788380952380952,0.022001912128599033,,2000-10
2000-11-01,1.94721,0.03639052504587448,,2000-11
2000-12-01,1.96245,0.007826582649020919,,2000-12
2001-01-01,1.9537090909090908,-0.004454079895492513,0.08363375123716787,2001-01
2001-02-01,2.0010555555555554,0.02423414256849954,0.12767894919981493,2001-02
2001-03-01,2.08825,0.04357422471473393,0.19929360415031505,2001-03
2001-04-01,2.191655,0.04951753860888308,0.24006685527099458,2001-04
2001-05-01,2.2964318181818184,0.047807167725676836,0.25685065266227003,2001-05
2001-06-01,2.375025,0.034224043229120094,0.3139626324816045,2001-06
2001-07-01,2.4652227272727276,0.03797759066650985,0.37183642988346555,2001-07
2001-08-01,2.5098304347826086,0.018094798095274145,0.3878434681841896,2001-08
2001-09-01,2.670863157894737,0.06416079782938655,0.4528272879501831,2001-09
2001-10-01,2.7393727272727273,0.025650722379948476,0.45801425584016653,2001-10
2001-11-01,2.542265,-0.07195359919822386,0.3055936442397069,2001-11
2001-12-01,2.3619,-0.0709465771664245,0.2035465871741955,2001-12
2002-01-01,2.377131818181818,0.0064489682805446424,0.21672762298285786,2002-01
2002-02-01,2.4188,0.017528763655207058,0.20876204225547634,2002-02
2002-03-01,2.3458449999999997,-0.030161650405159723,0.12335448341913069,2002-03
2002-04-01,2.3196,-0.01118786620599399,0.05837825752684611,2002-04
2002-05-01,2.479561904761905,0.0689609867054255,0.07974549260734354,2002-05
2002-06-01,2.713175,0.09421547201118474,0.14237744865843527,2002-06
2002-07-01,2.9338347826086957,0.0813289900609786,0.19008913480786904,2002-07
2002-08-01,3.1093090909090906,0.05981056238769078,0.23885225384893638,2002-08
2002-09-01,3.341242857142857,0.07459334516207727,0.25099739657816666,2002-09
2002-10-01,3.8051304347826087,0.13883683332028984,0.38905173323052367,2002-10
2002-11-01,3.5756,-0.06032130533147462,0.4064623475522813,2002-11
2002-12-01,3.6251190476190476,0.013849157517352939,0.5348317234510553,2002-12
2003-01-01,3.4375545454545455,-0.05174023244497117,0.4460933630865309,2003-01
2003-02-01,3.589955,0.04433397420470664,0.48418844054903243,2003-02
2003-03-01,3.4460894736842107,-0.04007446508822232,0.469018402189493,2003-03
2003-04-01,3.11787,-0.0952440371007871,0.34414123124676665,2003-04
2003-05-01,2.954942857142857,-0.05225591280494146,0.1917197354371356,2003-05
2003-06-01,2.882405,-0.024547972888042335,0.06237341859629386,2003-06
2003-07-01,2.8790304347826083,-0.0011707463792879347,-0.01868010705679768,2003-07
2003-08-01,3.0017428571428573,0.042622829157245246,-0.03459489893775192,2003-08
2003-09-01,2.9220454545454544,-0.026550376361438643,-0.12546151851884957,2003-09
2003-10-01,2.8607,-0.020994011044567107,-0.2481992275874677,2003-10
2003-11-01,2.913,0.018282238612926882,-0.1853115561024724,2003-11
2003-12-01,2.924454545454545,0.003932216084636231,-0.19328041174942767,2003-12
2004-01-01,2.8510333333333335,-0.025105950863667736,-0.17062164523229595,2004-01
2004-02-01,2.929511111111111,0.027526082161243526,-0.18396996310229197,2004-02
2004-03-01,2.9046565217391307,-0.008484210651296564,-0.15711517535446773,2004-03
2004-04-01,2.9051850000000004,0.0001819417397252998,-0.06821483897660885,2004-04
2004-05-01,3.0996190476190475,0.06692656323746915,0.04896074051871113,2004-05
2004-06-01,3.128347619047619,0.009268420082344964,0.08532549001532375,2004-06
2004-07-01,3.0359772727272727,-0.029526880503282227,0.05451378215684444,2004-07
2004-08-01,3.002113636363636,-0.011154113921681752,0.00012352131359172347,2004-08
2004-09-01,2.890347619047619,-0.0372291095054601,-0.010847824235084014,2004-09
2004-10-01,2.852055,-0.013248447624523707,-0.003021987625406397,2004-10
2004-11-01,2.78524,-0.02342696757250473,-0.04385856505320973,2004-11
2004-12-01,2.7173608695652174,-0.0243710166573734,-0.07081446220841814,2004-12
